"Town","FIPS","Year","Race","Type","Measure Type","Variable","Value"
"Andover","0901301080","1999-2003","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","1999-2003","All","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","1999-2003","All","Infant","Rate","Fetal Mortality",-9999
"Andover","0901301080","1999-2003","All","Neonatal","Number","Fetal Mortality",-9999
"Andover","0901301080","1999-2003","All","Neonatal","Rate","Fetal Mortality",-9999
"Andover","0901301080","1999-2003","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","1999-2003","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","1999-2003","White","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2000-2004","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2000-2004","All","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2000-2004","All","Infant","Rate","Fetal Mortality",-9999
"Andover","0901301080","2000-2004","All","Neonatal","Number","Fetal Mortality",-9999
"Andover","0901301080","2000-2004","All","Neonatal","Rate","Fetal Mortality",-9999
"Andover","0901301080","2000-2004","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2000-2004","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2000-2004","White","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2001-2005","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","All","Fetal","Rate","Fetal Mortality",0
